stockid,open,high,low,close,histtime,volume
FB,58.05,58.31,54.66,56.14,2014-04-28,107758000
FB,56.09,58.28,55.84,58.15,2014-04-29,75557000
FB,57.58,59.85,57.16,59.78,2014-04-30,76093000
FB,60.43,62.28,60.21,61.15,2014-05-01,82429000
FB,61.3,61.89,60.18,60.46,2014-05-02,54189000
FB,59.67,61.35,59.18,61.22,2014-05-05,46057000
FB,60.98,61.15,58.49,58.53,2014-05-06,55901000
FB,58.77,59.3,56.26,57.39,2014-05-07,78587000
FB,57.23,58.82,56.5,56.76,2014-05-08,61251000
FB,56.85,57.65,56.38,57.24,2014-05-09,52584000
FB,57.98,59.9,57.98,59.83,2014-05-12,48575000
FB,59.66,60.89,59.51,59.83,2014-05-13,48525000
FB,59.53,60.45,58.95,59.23,2014-05-14,47429000
FB,59.26,59.38,57.52,57.92,2014-05-15,56814000
FB,58.31,58.45,57.31,58.02,2014-05-16,47933000
FB,57.89,59.56,57.57,59.21,2014-05-19,43034000
FB,59.5,60.19,58.18,58.56,2014-05-20,53931000
FB,58.56,60.5,58.25,60.49,2014-05-21,58992000
FB,60.94,61.48,60.4,60.52,2014-05-22,54200000
FB,60.41,61.45,60.15,61.35,2014-05-23,38294000
FB,61.62,63.51,61.57,63.48,2014-05-27,55682000
FB,63.39,64.14,62.62,63.51,2014-05-28,47795000
FB,63.84,64.3,63.51,63.83,2014-05-29,42700000
FB,63.95,64.17,62.56,63.3,2014-05-30,45253500
FB,63.23,63.59,62.05,63.08,2014-06-02,35947400
FB,62.62,63.42,62.32,62.87,2014-06-03,32217000
FB,62.45,63.59,62.07,63.34,2014-06-04,36514000
FB,63.66,64.36,62.82,63.19,2014-06-05,47352000
FB,63.37,63.48,62.15,62.5,2014-06-06,42442000
FB,62.4,63.34,61.79,62.88,2014-06-09,37617000
FB,63.53,65.82,63.5,65.77,2014-06-10,69206900
FB,65.32,65.8,64.9,65.78,2014-06-11,44242000
FB,65.85,66.47,64.06,64.29,2014-06-12,55730000
FB,64.7,64.97,63.83,64.5,2014-06-13,29419000
FB,64.16,64.88,63.75,64.19,2014-06-16,31046000
FB,64.1,64.88,63.93,64.4,2014-06-17,27715000
FB,64.49,65.75,64.05,65.6,2014-06-18,35570000
FB,65.46,65.58,64.21,64.34,2014-06-19,34245000
FB,64.46,64.81,63.35,64.5,2014-06-20,46466000
FB,64.32,65.66,64.22,65.37,2014-06-23,34560000
FB,65.36,67.17,65.27,65.72,2014-06-24,57335000
FB,65.58,67.48,65.57,67.44,2014-06-25,44308000
FB,68,68,66.9,67.13,2014-06-26,47714000
FB,67.31,67.7,66.84,67.6,2014-06-27,46461000
FB,67.46,67.92,67.13,67.29,2014-06-30,27202000
FB,67.58,68.44,67.39,68.06,2014-07-01,33243000
FB,68.04,68.3,65.79,66.45,2014-07-02,41895000
FB,66.86,67,65.76,66.29,2014-07-03,25203200
FB,66.3,66.57,65.12,65.29,2014-07-07,28745000
FB,65.06,65.56,62.21,62.76,2014-07-08,68926000
FB,63.41,65.12,63.15,64.97,2014-07-09,51432000
FB,63.31,65.34,63.05,64.87,2014-07-10,44422000
FB,65.28,66.59,64.79,66.34,2014-07-11,39212000
FB,67.13,68.17,66.9,67.9,2014-07-14,38537000
